de, frequency : 3506, r: 1, Pr(%): 0.0932, rPr: 0.0932
la, frequency : 2213, r: 2, Pr(%): 0.0588, rPr: 0.1176
y, frequency : 1410, r: 3, Pr(%): 0.0375, rPr: 0.1124
en, frequency : 893, r: 4, Pr(%): 0.0237, rPr: 0.0949
el, frequency : 831, r: 5, Pr(%): 0.0221, rPr: 0.1104
del, frequency : 743, r: 6, Pr(%): 0.0197, rPr: 0.1185
visitar, frequency : 662, r: 7, Pr(%): 0.0176, rPr: 0.1232
su, frequency : 567, r: 8, Pr(%): 0.0151, rPr: 0.1206
a, frequency : 561, r: 9, Pr(%): 0.0149, rPr: 0.1342
lo, frequency : 481, r: 10, Pr(%): 0.0128, rPr: 0.1278
que, frequency : 423, r: 11, Pr(%): 0.0112, rPr: 0.1237
biblioteca, frequency : 382, r: 12, Pr(%): 0.0102, rPr: 0.1218
por, frequency : 301, r: 13, Pr(%): 0.0080, rPr: 0.1040
autor, frequency : 281, r: 14, Pr(%): 0.0075, rPr: 0.1046
obra, frequency : 273, r: 15, Pr(%): 0.0073, rPr: 0.1088
una, frequency : 264, r: 16, Pr(%): 0.0070, rPr: 0.1123
miguel, frequency : 251, r: 17, Pr(%): 0.0067, rPr: 0.1134
cervant, frequency : 229, r: 18, Pr(%): 0.0061, rPr: 0.1096
virtual, frequency : 227, r: 19, Pr(%): 0.0060, rPr: 0.1146
un, frequency : 221, r: 20, Pr(%): 0.0059, rPr: 0.1175
literatura, frequency : 216, r: 21, Pr(%): 0.0057, rPr: 0.1206
siglo, frequency : 212, r: 22, Pr(%): 0.0056, rPr: 0.1240
con, frequency : 203, r: 23, Pr(%): 0.0054, rPr: 0.1241
como, frequency : 197, r: 24, Pr(%): 0.0052, rPr: 0.1257
i, frequency : 187, r: 25, Pr(%): 0.0050, rPr: 0.1243
se, frequency : 172, r: 26, Pr(%): 0.0046, rPr: 0.1189
sitio, frequency : 165, r: 27, Pr(%): 0.0044, rPr: 0.1184
al, frequency : 160, r: 28, Pr(%): 0.0043, rPr: 0.1191
o, frequency : 157, r: 29, Pr(%): 0.0042, rPr: 0.1210
poeta, frequency : 147, r: 30, Pr(%): 0.0039, rPr: 0.1172
sobr, frequency : 144, r: 31, Pr(%): 0.0038, rPr: 0.1187
para, frequency : 142, r: 32, Pr(%): 0.0038, rPr: 0.1208
es, frequency : 140, r: 33, Pr(%): 0.0037, rPr: 0.1228
web, frequency : 128, r: 34, Pr(%): 0.0034, rPr: 0.1157
e, frequency : 124, r: 35, Pr(%): 0.0033, rPr: 0.1154
portal, frequency : 112, r: 36, Pr(%): 0.0030, rPr: 0.1072
contenido, frequency : 107, r: 37, Pr(%): 0.0028, rPr: 0.1052
historia, frequency : 107, r: 38, Pr(%): 0.0028, rPr: 0.1081
estudio, frequency : 104, r: 39, Pr(%): 0.0028, rPr: 0.1078
bibliotecario, frequency : 98, r: 40, Pr(%): 0.0026, rPr: 0.1042
teatro, frequency : 98, r: 41, Pr(%): 0.0026, rPr: 0.1068
est, frequency : 97, r: 42, Pr(%): 0.0026, rPr: 0.1083
social, frequency : 89, r: 43, Pr(%): 0.0024, rPr: 0.1017
entr, frequency : 84, r: 44, Pr(%): 0.0022, rPr: 0.0982
no, frequency : 82, r: 45, Pr(%): 0.0022, rPr: 0.0981
nacion, frequency : 78, r: 46, Pr(%): 0.0021, rPr: 0.0954
texto, frequency : 77, r: 47, Pr(%): 0.0020, rPr: 0.0962
universidad, frequency : 74, r: 48, Pr(%): 0.0020, rPr: 0.0944
cooki, frequency : 70, r: 49, Pr(%): 0.0019, rPr: 0.0912
revista, frequency : 69, r: 50, Pr(%): 0.0018, rPr: 0.0917
