the, frequency : 533, r: 1, Pr(%): 0.0299, rPr: 0.0299
and, frequency : 468, r: 2, Pr(%): 0.0262, rPr: 0.0524
of, frequency : 436, r: 3, Pr(%): 0.0244, rPr: 0.0733
to, frequency : 358, r: 4, Pr(%): 0.0201, rPr: 0.0802
a, frequency : 334, r: 5, Pr(%): 0.0187, rPr: 0.0936
student, frequency : 294, r: 6, Pr(%): 0.0165, rPr: 0.0988
colleg, frequency : 268, r: 7, Pr(%): 0.0150, rPr: 0.1051
you, frequency : 266, r: 8, Pr(%): 0.0149, rPr: 0.1192
program, frequency : 257, r: 9, Pr(%): 0.0144, rPr: 0.1296
visit, frequency : 215, r: 10, Pr(%): 0.0120, rPr: 0.1205
univers, frequency : 201, r: 11, Pr(%): 0.0113, rPr: 0.1239
appli, frequency : 192, r: 12, Pr(%): 0.0108, rPr: 0.1291
for, frequency : 190, r: 13, Pr(%): 0.0106, rPr: 0.1384
campu, frequency : 187, r: 14, Pr(%): 0.0105, rPr: 0.1467
give, frequency : 172, r: 15, Pr(%): 0.0096, rPr: 0.1446
info, frequency : 165, r: 16, Pr(%): 0.0092, rPr: 0.1479
cpp, frequency : 154, r: 17, Pr(%): 0.0086, rPr: 0.1467
mycpp, frequency : 152, r: 18, Pr(%): 0.0085, rPr: 0.1533
pomona, frequency : 145, r: 19, Pr(%): 0.0081, rPr: 0.1544
your, frequency : 144, r: 20, Pr(%): 0.0081, rPr: 0.1614
at, frequency : 132, r: 21, Pr(%): 0.0074, rPr: 0.1553
academ, frequency : 125, r: 22, Pr(%): 0.0070, rPr: 0.1541
about, frequency : 124, r: 23, Pr(%): 0.0069, rPr: 0.1598
tour, frequency : 119, r: 24, Pr(%): 0.0067, rPr: 0.1600
in, frequency : 117, r: 25, Pr(%): 0.0066, rPr: 0.1639
bronco, frequency : 112, r: 26, Pr(%): 0.0063, rPr: 0.1632
alumni, frequency : 111, r: 27, Pr(%): 0.0062, rPr: 0.1679
california, frequency : 103, r: 28, Pr(%): 0.0058, rPr: 0.1616
state, frequency : 101, r: 29, Pr(%): 0.0057, rPr: 0.1641
learn, frequency : 99, r: 30, Pr(%): 0.0055, rPr: 0.1664
poli, frequency : 95, r: 31, Pr(%): 0.0053, rPr: 0.1650
news, frequency : 94, r: 32, Pr(%): 0.0053, rPr: 0.1686
cal, frequency : 93, r: 33, Pr(%): 0.0052, rPr: 0.1720
all, frequency : 93, r: 34, Pr(%): 0.0052, rPr: 0.1772
futur, frequency : 89, r: 35, Pr(%): 0.0050, rPr: 0.1745
polytechn, frequency : 88, r: 36, Pr(%): 0.0049, rPr: 0.1775
by, frequency : 87, r: 37, Pr(%): 0.0049, rPr: 0.1804
it, frequency : 87, r: 38, Pr(%): 0.0049, rPr: 0.1853
that, frequency : 84, r: 39, Pr(%): 0.0047, rPr: 0.1836
athlet, frequency : 83, r: 40, Pr(%): 0.0047, rPr: 0.1860
educ, frequency : 83, r: 41, Pr(%): 0.0047, rPr: 0.1907
famili, frequency : 81, r: 42, Pr(%): 0.0045, rPr: 0.1906
our, frequency : 79, r: 43, Pr(%): 0.0044, rPr: 0.1904
not, frequency : 79, r: 44, Pr(%): 0.0044, rPr: 0.1948
faculti, frequency : 78, r: 45, Pr(%): 0.0044, rPr: 0.1967
staff, frequency : 75, r: 46, Pr(%): 0.0042, rPr: 0.1933
support, frequency : 75, r: 47, Pr(%): 0.0042, rPr: 0.1975
search, frequency : 73, r: 48, Pr(%): 0.0041, rPr: 0.1963
current, frequency : 72, r: 49, Pr(%): 0.0040, rPr: 0.1977
with, frequency : 71, r: 50, Pr(%): 0.0040, rPr: 0.1989
