de, frequency : 12442, r: 1, Pr(%): 0.0820, rPr: 0.0820
le, frequency : 8679, r: 2, Pr(%): 0.0572, rPr: 0.1144
la, frequency : 5284, r: 3, Pr(%): 0.0348, rPr: 0.1045
et, frequency : 3473, r: 4, Pr(%): 0.0229, rPr: 0.0916
l, frequency : 3044, r: 5, Pr(%): 0.0201, rPr: 0.1003
du, frequency : 2692, r: 6, Pr(%): 0.0177, rPr: 0.1065
en, frequency : 2383, r: 7, Pr(%): 0.0157, rPr: 0.1099
un, frequency : 1986, r: 8, Pr(%): 0.0131, rPr: 0.1047
d, frequency : 1882, r: 9, Pr(%): 0.0124, rPr: 0.1116
figaro, frequency : 1636, r: 10, Pr(%): 0.0108, rPr: 0.1078
une, frequency : 1603, r: 11, Pr(%): 0.0106, rPr: 0.1162
pour, frequency : 1464, r: 12, Pr(%): 0.0096, rPr: 0.1158
2024, frequency : 1272, r: 13, Pr(%): 0.0084, rPr: 0.1090
sur, frequency : 1183, r: 14, Pr(%): 0.0078, rPr: 0.1092
dan, frequency : 1139, r: 15, Pr(%): 0.0075, rPr: 0.1126
a, frequency : 1060, r: 16, Pr(%): 0.0070, rPr: 0.1118
est, frequency : 982, r: 17, Pr(%): 0.0065, rPr: 0.1100
au, frequency : 940, r: 18, Pr(%): 0.0062, rPr: 0.1115
par, frequency : 936, r: 19, Pr(%): 0.0062, rPr: 0.1172
ce, frequency : 865, r: 20, Pr(%): 0.0057, rPr: 0.1140
se, frequency : 778, r: 21, Pr(%): 0.0051, rPr: 0.1077
qui, frequency : 753, r: 22, Pr(%): 0.0050, rPr: 0.1092
plu, frequency : 750, r: 23, Pr(%): 0.0049, rPr: 0.1137
son, frequency : 657, r: 24, Pr(%): 0.0043, rPr: 0.1039
tv, frequency : 631, r: 25, Pr(%): 0.0042, rPr: 0.1040
avec, frequency : 607, r: 26, Pr(%): 0.0040, rPr: 0.1040
franc, frequency : 605, r: 27, Pr(%): 0.0040, rPr: 0.1077
aux, frequency : 588, r: 28, Pr(%): 0.0039, rPr: 0.1085
que, frequency : 583, r: 29, Pr(%): 0.0038, rPr: 0.1114
guid, frequency : 541, r: 30, Pr(%): 0.0036, rPr: 0.1070
pa, frequency : 516, r: 31, Pr(%): 0.0034, rPr: 0.1054
il, frequency : 514, r: 32, Pr(%): 0.0034, rPr: 0.1084
programm, frequency : 502, r: 33, Pr(%): 0.0033, rPr: 0.1092
s, frequency : 462, r: 34, Pr(%): 0.0030, rPr: 0.1035
voyag, frequency : 443, r: 35, Pr(%): 0.0029, rPr: 0.1022
an, frequency : 392, r: 36, Pr(%): 0.0026, rPr: 0.0930
pari, frequency : 375, r: 37, Pr(%): 0.0025, rPr: 0.0914
vou, frequency : 373, r: 38, Pr(%): 0.0025, rPr: 0.0934
tout, frequency : 369, r: 39, Pr(%): 0.0024, rPr: 0.0948
ne, frequency : 361, r: 40, Pr(%): 0.0024, rPr: 0.0952
passer, frequency : 360, r: 41, Pr(%): 0.0024, rPr: 0.0973
trump, frequency : 345, r: 42, Pr(%): 0.0023, rPr: 0.0955
sa, frequency : 338, r: 43, Pr(%): 0.0022, rPr: 0.0958
diffus, frequency : 314, r: 44, Pr(%): 0.0021, rPr: 0.0911
san, frequency : 303, r: 45, Pr(%): 0.0020, rPr: 0.0899
n, frequency : 302, r: 46, Pr(%): 0.0020, rPr: 0.0916
qu, frequency : 301, r: 47, Pr(%): 0.0020, rPr: 0.0932
ou, frequency : 301, r: 48, Pr(%): 0.0020, rPr: 0.0952
notr, frequency : 297, r: 49, Pr(%): 0.0020, rPr: 0.0959
2025, frequency : 288, r: 50, Pr(%): 0.0019, rPr: 0.0949
